simulation_id,treatment_id,intercrop,soilN,diffusion,lateral_enabled,influx_max,KM,NC_MIN,K2,coverage,total_root_biomass,total_uptake_μmol,total_uptake_mg,m3_uptake_cereal,uptake_per_gram_mg,uptake_per_gram_legume_mg,uptake_per_gram_cereal_mg,total_legume_uptake_mg,total_cereal_uptake_mg,final_soil_N_μmol,final_soil_N_mg,start_soil_N_per_layer
Treatment1_Rep1,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.897927163327761,15593.139912476721,218.3039587746741,15593.139912476721,22.05552285568432,NaN,22.05552285568432,0.0,218.3039587746741,4406.8600875232805,61.69604122532593,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep2,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.916330733380263,15595.911073833482,218.34275503366877,15595.911073833482,22.01850270066985,NaN,22.01850270066985,0.0,218.34275503366877,4404.088926166517,61.65724496633124,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep3,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.91419837924615,15602.246066439322,218.43144493015052,15602.246066439322,22.032184204363226,NaN,22.032184204363226,0.0,218.43144493015052,4397.753933560678,61.568555069849495,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep4,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.901505187899234,15587.620995623058,218.2266939387228,15587.620995623058,22.039749492372195,NaN,22.039749492372195,0.0,218.2266939387228,4412.379004376943,61.773306061277204,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep5,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.903186111913808,15592.073828467064,218.2890335985389,15592.073828467064,22.042303469984386,NaN,22.042303469984386,0.0,218.2890335985389,4407.926171532933,61.710966401461064,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep6,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.895405362570155,15595.411426886598,218.33575997641236,15595.411426886598,22.064357343285586,NaN,22.064357343285586,0.0,218.33575997641236,4404.588573113403,61.664240023587645,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep7,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.911798876656023,15595.702053364343,218.3398287471008,15595.702053364343,22.028274732382666,NaN,22.028274732382666,0.0,218.3398287471008,4404.297946635658,61.66017125289922,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep8,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.911339475782386,15591.930959816174,218.28703343742646,15591.930959816174,22.023969007498373,NaN,22.023969007498373,0.0,218.28703343742646,4408.0690401838265,61.71296656257357,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep9,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.897594608757284,15589.673965713091,218.25543551998328,15589.673965713091,22.051361380963534,NaN,22.051361380963534,0.0,218.25543551998328,4410.326034286909,61.74456448001673,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep10,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.906924757430914,15595.019858368663,218.3302780171613,15595.019858368663,22.038148402550213,NaN,22.038148402550213,0.0,218.3302780171613,4404.9801416313385,61.66972198283874,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep11,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.88747957035804,15594.084405632,218.31718167884802,15594.084405632,22.08016513463627,NaN,22.08016513463627,0.0,218.31718167884802,4405.915594368003,61.68281832115205,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep12,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.91074237469222,15604.301683455948,218.46022356838327,15604.301683455948,22.04277089537075,NaN,22.04277089537075,0.0,218.46022356838327,4395.698316544054,61.53977643161676,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep13,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.895188051770806,15590.469759949081,218.26657663928714,15590.469759949081,22.057850290195038,NaN,22.057850290195038,0.0,218.26657663928714,4409.530240050917,61.73342336071284,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep14,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.917160657789442,15599.963919322327,218.39949487051257,15599.963919322327,22.022381446343772,NaN,22.022381446343772,0.0,218.39949487051257,4400.036080677672,61.6005051294874,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep15,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.89439722010216,15590.212219248733,218.26297106948226,15590.212219248733,22.059248907658944,NaN,22.059248907658944,0.0,218.26297106948226,4409.787780751268,61.73702893051775,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep16,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.919997164631239,15596.37563296665,218.34925886153312,15596.37563296665,22.011020289404478,NaN,22.011020289404478,0.0,218.34925886153312,4403.624367033351,61.65074113846691,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep17,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.890179788518784,15592.642421847777,218.29699390586887,15592.642421847777,22.072095611374362,NaN,22.072095611374362,0.0,218.29699390586887,4407.35757815222,61.703006094131084,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep18,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.900869202990869,15593.030339839928,218.302424757759,15593.030339839928,22.04881412753275,NaN,22.04881412753275,0.0,218.302424757759,4406.96966016007,61.69757524224098,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep19,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.904658038246943,15591.517721666474,218.28124810333065,15591.517721666474,22.03824173034902,NaN,22.03824173034902,0.0,218.28124810333065,4408.482278333524,61.71875189666934,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
Treatment1_Rep20,1,false,20.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.899925683372263,15592.685455442717,218.29759637619804,15592.685455442717,22.050427786831445,NaN,22.050427786831445,0.0,218.29759637619804,4407.314544557288,61.702403623802034,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
