simulation_id,treatment_id,intercrop,soilN,diffusion,lateral_enabled,influx_max,KM,NC_MIN,K2,coverage,total_root_biomass,total_uptake_μmol,total_uptake_mg,m3_uptake_cereal,uptake_per_gram_mg,uptake_per_gram_legume_mg,uptake_per_gram_cereal_mg,total_legume_uptake_mg,total_cereal_uptake_mg,final_soil_N_μmol,final_soil_N_mg,start_soil_N_per_layer
Treatment1_Rep1,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.899387885642431,93381.1111213591,1307.3355556990275,93381.1111213591,132.06226190966015,NaN,132.06226190966015,0.0,1307.3355556990275,46618.88887864089,652.6644443009725,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep2,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.896288591244671,93374.6243683256,1307.2447411565586,93374.6243683256,132.09444420538512,NaN,132.09444420538512,0.0,1307.2447411565586,46625.3756316744,652.7552588434415,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep3,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.90642390649806,93397.58923413047,1307.5662492778267,93397.58923413047,131.99175218215083,NaN,131.99175218215083,0.0,1307.5662492778267,46602.410765869536,652.4337507221735,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep4,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.901657694399956,93400.28239709878,1307.603953559383,93400.28239709878,132.0590949431548,NaN,132.0590949431548,0.0,1307.603953559383,46599.71760290121,652.3960464406169,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep5,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.886835381327973,93352.80990749609,1306.9393387049454,93352.80990749609,132.18985532753968,NaN,132.18985532753968,0.0,1306.9393387049454,46647.190092503915,653.0606612950548,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep6,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.895990747773569,93372.34997271681,1307.2128996180354,93372.34997271681,132.09520228301912,NaN,132.09520228301912,0.0,1307.2128996180354,46627.65002728318,652.7871003819646,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep7,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.897109421264771,93345.48453918673,1306.8367835486142,93345.48453918673,132.0422689013386,NaN,132.0422689013386,0.0,1306.8367835486142,46654.51546081327,653.1632164513858,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep8,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.89071037448343,93373.17386703863,1307.2244341385408,93373.17386703863,132.1668904097108,NaN,132.1668904097108,0.0,1307.2244341385408,46626.826132961374,652.7755658614592,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep9,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.889404100578135,93337.1112508578,1306.719557512009,93337.1112508578,132.13329582068735,NaN,132.13329582068735,0.0,1306.719557512009,46662.88874914221,653.2804424879909,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep10,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.90469045457459,93370.52275212959,1307.1873185298143,93370.52275212959,131.97659477849461,NaN,131.97659477849461,0.0,1307.1873185298143,46629.47724787043,652.812681470186,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep11,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.896311775648226,93374.54371131012,1307.2436119583417,93374.54371131012,132.09402064060527,NaN,132.09402064060527,0.0,1307.2436119583417,46625.4562886899,652.7563880416586,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
Treatment1_Rep12,1,false,140.0,0.00018,true,250.0,50,0.01,1.46,1.0,9.885213501027545,93363.00008949028,1307.0820012528638,93363.00008949028,132.22597580891863,NaN,132.22597580891863,0.0,1307.0820012528638,46636.99991050972,652.9179987471362,"[140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0, 140.0]"
