treatment_id,soilN,replicate,timestep,legume_root,cereal_root,no_root
1,20.0,1,1,0.0,995.6172265949024,0.0
1,20.0,1,2,0.0,1938.6628465096512,0.0
1,20.0,1,3,0.0,2830.8719123076926,0.0
1,20.0,1,4,0.0,3674.038255796885,0.0
1,20.0,1,5,0.0,4470.0064442949515,0.0
1,20.0,1,6,0.0,5220.662464759748,0.0
1,20.0,1,7,0.0,5927.9233916689645,0.0
1,20.0,1,8,0.0,6593.7263343685845,0.0
1,20.0,1,9,0.0,7220.016982797832,0.0
1,20.0,1,10,0.0,7808.738075812114,0.0
1,20.0,1,11,0.0,8361.818104188009,0.0
1,20.0,1,12,0.0,8881.160532743821,0.0
1,20.0,1,13,0.0,9368.633785972062,0.0
1,20.0,1,14,0.0,9826.062193021287,0.0
1,20.0,1,15,0.0,10255.218034899117,0.0
1,20.0,1,16,0.0,10657.81478331019,0.0
1,20.0,1,17,0.0,11035.50156995228,0.0
1,20.0,1,18,0.0,11389.858879951968,0.0
1,20.0,1,19,0.0,11722.395425138526,0.0
1,20.0,1,20,0.0,12034.546122894713,0.0
1,20.0,1,21,0.0,12327.671084512274,0.0
1,20.0,1,22,0.0,12603.055502864978,0.0
1,20.0,1,23,0.0,12861.9103219376,0.0
1,20.0,1,24,0.0,13105.373569225096,0.0
1,20.0,1,25,0.0,13334.512235061757,0.0
1,20.0,1,26,0.0,13550.32458939475,0.0
1,20.0,1,27,0.0,13753.742835317371,0.0
1,20.0,1,28,0.0,13945.636008904283,0.0
1,20.0,1,29,0.0,14126.813045787723,0.0
1,20.0,1,30,0.0,14298.025945888161,0.0
1,20.0,1,31,0.0,14459.972978326829,0.0
1,20.0,1,32,0.0,14613.301878496775,0.0
1,20.0,1,33,0.0,14758.612998361696,0.0
1,20.0,1,34,0.0,14896.462379185292,0.0
1,20.0,1,35,0.0,15027.364723034203,0.0
1,20.0,1,36,0.0,15151.796245560223,0.0
1,20.0,1,37,0.0,15270.197397802369,0.0
1,20.0,1,38,0.0,15382.975449127913,0.0
1,20.0,1,39,0.0,15490.506927037051,0.0
1,20.0,1,40,0.0,15593.139912476718,0.0
1,20.0,2,1,0.0,997.4684133204422,0.0
1,20.0,2,2,0.0,1942.1668510694371,0.0
1,20.0,2,3,0.0,2835.8395354845857,0.0
